,sentence,condition
497,miles got up very early and had his coffee on the terrace,S
498,according to paul greece was the best vacation place he ever visited,S
499,judith has been dating brian for three years when she got pregnant,S
500,allison invited her little niece to go to disneyworld for a week,S
501,the florist who christina hired for the wedding had really great recommendations,S
502,the swimmer that was saved by the lifeguard was lucky to survive,S
503,the cookies that claire baked were everybody's favorite dessert at the party,S
504,a talented composer was looking for inspiration during his trip to africa,S
505,besides jonathan nobody knew how to operate the equipment in the conference-room,S
506,not only did peter finish the homework but he also cleaned up,S
507,when the couple moved to florida they realized how great chicago was,S
508,the thief successfully got into the apartment and stole the owner's safe-box,S
509,the immigrant from new zealand hoped that his documents were in order,S
510,scott played tennis every sunday morning with his friend from the netherlands,S
511,this month the museum had an exhibition of the works by picasso,S
512,if robin finishes her dissertation soon she can defend in the fall,S
513,stephanie stopped by a pharmacy to get some medicines for her brother,S
514,despite the bad weather conditions the flight to china was not delayed,S
515,mary's dream to have a dog was finally fulfilled on her birthday,S
516,mitchell was not joking when he said that he would marry leslie,S
517,to henry's surprise his mother was very supportive of the business idea,S
518,after consulting with a friend the engineer decided to patent the device,S
519,yesterday linda went for a jog and hurt her foot quite seriously,S
520,although the lotion helped somewhat the burn still hurt the next morning,S
521,while frank was working in canada his wife looked after the kids,S
522,before starting the experiment the scientist wanted to double-check everything very carefully,S
523,at the bus-stop jason was approached by a stranger with an accent,S
524,nobody could have predicted the earthquake in this part of the country,S
525,as part of the project the fieldworker took a trip to australia,S
526,the masseuse that found the client quite rude complained to the boss,S
527,the speech that the politician prepared was too long for the meeting,S
528,somebody rearranged the papers in the file-cabinet and the professor got angry,S
529,the new white pants dirtied quickly and christopher took them to dry-cleaning,S
530,none of the witnesses could identify the criminal because of the mask,S
531,the bachelor's plans to get married pleased the parents and the co-workers,S
532,the defendant who the lawyer examined seemed really confused about what happened,S
533,before the meeting anthony evaluated the proposal and called donald for advice,S
534,barbara was concerned about the surgery which the dentist had recommended yesterday,S
535,a crowd of screaming teenagers awaited the singer near the hotel entrance,S
536,the economist concluded that the condition of the market would improve soon,S
537,if the driver had followed the directions he would have arrived already,S
538,while the manager was interviewing the employee the secretary received a phone-call,S
539,alan met a beautiful french girl who was in town on business,S
540,the new environment bill passed in the senate by three votes yesterday,S
541,after the writer finished the novel he wanted to go on vacation,S
542,the millionaire that inherited a famous painting by picasso lived in france,S
543,when several sophomores broke the rules the principal immediately contacted the parents,S
544,diane visited her mother in europe but could not stay for long,S
545,the patient that ordered a new wheelchair was an old war veteran,S
546,because sarah was upset by the news she forgot about the appointment,S
547,before james found a solution he spent many nights in his office,S
548,the local residents were unhappy about the construction because of the noise,S
549,amanda suspected that denise was having an affair with someone at work,S
550,the cabbie that was supposed to pick up doug took a detour,S
551,while the salesman advertised the car heather was worrying about the price,S
552,even after joining a local chess-club john still felt lonely and depressed,S
553,the fan that gina and steve purchased yesterday did not require assembly,S
554,a young yachtsman and his college friends decided to sail to mexico,S
555,jeffrey hoped that the merchandise would arrive in time for the negotiations,S
556,in the evening the boy-scouts made a fire and baked some potatoes,S
557,tom got married to a lawyer last year and seemed very happy,S
558,the cop that wounded the fleeing robber was from the downtown precinct,S
559,daniel was not allowed to watch tv for more than three hours,S
560,in the winter jack liked to go to the alps to ski,S
561,one of the volunteers for the test-drug study worried about possible side-effects,S
562,the seafood was excellent in the little waterfront restaurant where joe went,S
563,since richard didn't know the city at all he bought a map,S
564,the child was running around the room and tripped on a cord,S
565,after a couple of days the shoes stretched and became quite comfortable,S
566,the sprinklers turned on automatically every evening but recently something got broken,S
567,the vegetarian hoped that the restaurant would carry some dishes without meat,S
568,after the panelist answered a very difficult question the audience started applauding,S
569,every morning the attorney checked all the world news on the internet,S
570,miranda couldn't understand why she didn't get the promotion she hoped for,S
571,before the attack the general had to find out the enemy's position,S
572,since the importer wasn't sure about the quality the deal fell through,S
573,in the morning the tailor was showing different fabrics to the customer,S
574,the acrobat was nervous about the trick and so he kept practicing,S
575,last month everybody at the company was supposed to get a raise,S
576,to meet the deadline the engineers worked to utter exhaustion for months,S
577,the zookeeper was very worried about the health of the polar bear,S
578,the janitor misplaced the keys and so he called the building administrator,S
579,the statistician that was hired by the ceo was a wonderful specialist,S
580,the mechanic spent hours examining the motorcycle but couldn't identify the problem,S
581,being surprised by the tests the cardiologist wanted to consult a colleague,S
582,at the party the guests admitted that the wine was truly exceptional,S
583,the origami came undone in the bag and amy was very upset,S
584,the phone was answered by a man with a very pleasant voice,S
585,from a distance the house looked really tiny almost like a toy,S
586,the night-club gave a big discount to students from the local university,S
587,the tea that julie made got cold while she wrote some e-mails,S
588,eric wondered whether he would get a chance to run the marathon,S
589,at the summer house timothy could not sleep because of the mosquitoes,S
590,kyle rented a thriller and then he ordered a pizza for himself,S
591,for dinner george took his date to a fancy italian place downtown,S
592,while her two roommates were away katie cleaned up the entire apartment,S
593,because the maid forgot to dust the shelves ginny couldn't stop sneezing,S
594,after the game the family went out for some ice-cream and drinks,S
595,after college tracy worked as a paralegal at a firm in london,S
596,the door locked before harry realized that he left the keys inside,S
597,the admiral hoped that the casualties would be minimal during the battle,S
598,for breakfast alex always had a piece of toast and chocolate milk,S
599,the human rights conference lasted three days but many people left early,S
600,despite some disagreements in the past larry and ted got along well,S
601,keith was walking his dog when he heard someone arguing loudly nearby,S
602,the truck stopped near the store and the driver unloaded the boxes,S
603,last night a van exploded in the parking-lot but nobody was hurt,S
604,after the child saw a scary movie she could not sleep alone,S
605,susan followed the advice and bought a cell-phone which had a camera,S
606,when alex was driving to the ocean he listened to classic rock,S
607,lionel was waiting for his wife in a coffee-shop on main street,S
608,to everyone's surprise the businessman had to be hospitalized for two weeks,S
609,the victims of the robbery were asked to talk to the policemen,S
610,while talking to a collaborator the physicist thought of a new hypothesis,S
611,in the battle the soldier got wounded and went to the hospital,S
612,the violinist performed a solo piece and then a cellist joined him,S
613,the radio that the electrician fixed for gerald was of historical value,S
614,the butler started a rumor but the cook did not believe him,S
615,the senator was very persuasive but the media purposefully distorted the arguments,S
616,the students did not perform well on the test upsetting the teacher,S
617,the boxes were extremely heavy and the movers could barely lift them,S
618,the tourist was photographing the cathedral downtown when his camera broke down,S
619,maryann was working on the puzzle with her younger sister all morning,S
620,for the reception paula wore a black dress and a beautiful shawl,S
621,every sound echoed in the big house and laura was feeling scared,S
622,donald forged the documents and now he was facing very serious charges,S
623,caitlin was doing some shopping at the downtown mall on saturday afternoon,S
624,if you have a vitamin deficiency you should eat lots of fruits,S
625,before the show the contestants had to fill out a detailed questionnaire,S
626,caroline was interested in astronomy and so she bought a small telescope,S
627,ann and david were arguing for three hours and felt exhausted afterwards,S
628,the tai-chi master performed a sequence and the students repeated after him,S
629,at the customer's request the travel-agent looked for a ticket to sydney,S
630,while watching a movie jeff was trying to finish the budget calculations,S
631,many subscribers were outraged by the recent article about the gender differences,S
632,because phil was very tired today he broke a glass of wine,S
633,before he went to bed michael called his girl-friend who was away,S
634,the photographer accompanied the reporter on a trip to asia last month,S
635,during the storm the road-sign turned sideways and was misleading the drivers,S
636,the assistant who the researcher hired recently turned out to be great,S
637,andrew has always been impatient and jen often teased him about it,S
638,the gardener was planting some tulips at the request of the house-owner,S
639,walter got a job in brazil but he didn't want to move,S
